[[1, 3, 4, 1, 2, 4, 2, 4],
 [3, 0, 0, 3, 0, 3, 4, 2],
 [0, 1, 2, 4, 1, 2, 0, 1],
 [4, 4, 1, 2, 3, 0, 3, 0],
 [2, 2, 3, 0, 4, 1, 1, 3],
 [6, 5, 6, 6, 5, 6, 5, 5],
 [7, 6, 7, 7, 7, 7, 7, 7],
 [5, 7, 5, 5, 6, 5, 6, 6]]
[[41, 32, 72, 65, 53, 35, 53, 2],
 [21, 44, 75, 58, 66, 7, 9, 16],
 [21, 70, 3, 85, 70, 39, 86, 96],
 [95, 78, 57, 65, 57, 58, 35, 9],
 [35, 34, 5, 34, 1, 12, 11, 86],
 [73, 98, 22, 56, 31, 40, 53, 71],
 [42, 95, 27, 17, 61, 92, 30, 66],
 [70, 49, 13, 71, 77, 5, 34, 99]]
[983, 1017, 1353, 1071, 1211, 1039, 1368, 1139]
[3, 9, 13, 19, 20, 20, 6, 9]
[10, 11, 4, 12, 15, 7, 6, 5]
